i_name,thickness,item_name,origin,itemname_with_thickness
5.5ملم اسود ( اماراتي),5.5,اسود,اماراتي,5.5ملم اسود
5ملم اسود(Sphinx Transition),5,اسود,Sphinx Transition,5ملم اسود
5.5ملم برش ابيض(SISECAM ),5.5,برش ابيض,SISECAM,5.5ملم برش ابيض
6ملم برش ابيض(SISECAM ),6,برش ابيض,SISECAM,6ملم برش ابيض
10ملم برونز(Shandong Jinjin),10,برونز,Shandong Jinjin,10ملم برونز
6ملم مرايا معتق برونز,6,مرايا معتق برونز,,6ملم مرايا معتق برونز
6ملم مشرط اسود,6,مشرط اسود,,6ملم مشرط اسود
 5.5ملم برونز(RIDER),5.5,برونز,RIDER,5.5ملم برونز
 5.5ملم برونز(RIDER),5.5,برونز,RIDER,5.5ملم برونز
4ملم زيتوني اسيد ابيض(yorglas),4,زيتوني اسيد ابيض,yorglas,4ملم زيتوني اسيد ابيض
4ملم سجادة اسيد ابيض(yorglas),4,سجادة اسيد ابيض,yorglas,4ملم سجادة اسيد ابيض
4ملم جنزير اسيد ابيض(yorglas),4,جنزير اسيد ابيض,yorglas,4ملم جنزير اسيد ابيض
4ملم نانسي اسيد ابيض(yorglas),4,نانسي اسيد ابيض,yorglas,4ملم نانسي اسيد ابيض
4ملم زيتوني اسيد برونز(yorglas),4,زيتوني اسيد برونز,yorglas,4ملم زيتوني اسيد برونز
4ملم سجادة اسيد برونز(yorglas),4,سجادة اسيد برونز,yorglas,4ملم سجادة اسيد برونز
4ملم منقط اسيد برونز(yorglas),4,منقط اسيد برونز,yorglas,4ملم منقط اسيد برونز
6ملم مرايا برونز(AGC),6,مرايا برونز,AGC,6ملم مرايا برونز
8ملم ابيض(S.G),8,ابيض,S.G,8ملم ابيض
8ملم ابيض(S.G),8,ابيض,S.G,8ملم ابيض
8ملم عاكس ازرق فاتح(SISECAM),8,عاكس ازرق فاتح,SISECAM,8ملم عاكس ازرق فاتح
6ملم عاكس ازرق فاتح(SISECAM.T.),6,عاكس ازرق فاتح,SISECAM.T.,6ملم عاكس ازرق فاتح
12ملم تريبلكس ابيض(SISECAM),12,تريبلكس ابيض,SISECAM,12ملم تريبلكس ابيض
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
5.5ملم برونز,5.5,برونز,,5.5ملم برونز
5.5ملم برونز (Oingdao shining),5.5,برونز,Oingdao shining,5.5ملم برونز
8ملم تريبلكس ابيض(Xinyi),8,تريبلكس ابيض,Xinyi,8ملم تريبلكس ابيض
8ملم ابيض(S.G),8,ابيض,S.G,8ملم ابيض
10ملم ابيض(S.G),10,ابيض,S.G,10ملم ابيض
10ملم تريبلكس ابيض.2(SISECAM),10,تريبلكس ابيض.2,SISECAM,10ملم تريبلكس ابيض.2
15ملم ابيض(RIDER),15,ابيض,RIDER,15ملم ابيض
19ملم ابيض(RIDER),19,ابيض,RIDER,19ملم ابيض
4ملم دلتا اسيد برونز,4,دلتا اسيد برونز,,4ملم دلتا اسيد برونز
3ملم بلور(مشكل ),3,بلور,مشكل,3ملم بلور
5.5ملم برونز (Oingdao shining),5.5,برونز,Oingdao shining,5.5ملم برونز
6ملم مشرط ابيض(Guardian),6,مشرط ابيض,Guardian,6ملم مشرط ابيض
 5.5ملم برونز (Oingdao shining),5.5,برونز,Oingdao shining,5.5ملم برونز
4ملم مرايا ابيض (Tess Aluminum),4,مرايا ابيض,Tess Aluminum,4ملم مرايا ابيض
10ملم ابيض(S.G),10,ابيض,S.G,10ملم ابيض
6ملم مرايا ابيض(Trakya ),6,مرايا ابيض,Trakya,6ملم مرايا ابيض
8ملم تريبلكس برونز(SISECAM),8,تريبلكس برونز,SISECAM,8ملم تريبلكس برونز
15ملم ابيض(RIDER),15,ابيض,RIDER,15ملم ابيض
5ملم عاكس اخضر غامق.3(China Majed),5,عاكس اخضر غامق.3,China Majed,5ملم عاكس اخضر غامق.3
5ملم اخضر غامق.3 (China Majed),5,اخضر غامق.3,China Majed,5ملم اخضر غامق.3
5.5ملم ابيض(Guardianامراتي),5.5,ابيض,Guardianامراتي,5.5ملم ابيض
5.5ملم ابيض(Guardianامراتي),5.5,ابيض,Guardianامراتي,5.5ملم ابيض
5.5ملم ابيض(Guardianامراتي),5.5,ابيض,Guardianامراتي,5.5ملم ابيض
5.5ملم ابيض(Guardianامراتي),5.5,ابيض,Guardianامراتي,5.5ملم ابيض
5.5ملم ابيض(Guardian),5.5,ابيض,Guardian,5.5ملم ابيض
5.5ملم ابيض(Guardianامراتي),5.5,ابيض,Guardianامراتي,5.5ملم ابيض
5.5ملم ابيض(Guardianامراتي),5.5,ابيض,Guardianامراتي,5.5ملم ابيض
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم ابيض(Sphinx),5.5,ابيض,Sphinx,5.5ملم ابيض
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم عاكس ابيض(Sphinx),5.5,عاكس ابيض,Sphinx,5.5ملم عاكس ابيض
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم ابيض(Sphinx),5.5,ابيض,Sphinx,5.5ملم ابيض
6ملم كريستال(Falcon),6,كريستال,Falcon,6ملم كريستال
8ملم كريستال(Majed P.P.G),8,كريستال,Majed P.P.G,8ملم كريستال
10ملم كريستال(Majed P.P.G),10,كريستال,Majed P.P.G,10ملم كريستال
12ملم كريستال(Falcon),12,كريستال,Falcon,12ملم كريستال
6ملم مرايا كريتسال ابيض(SISECAM ),6,مرايا كريتسال ابيض,SISECAM,6ملم مرايا كريتسال ابيض
5.5ملم اسود(SISECAM )علام,5.5,اسودعلام,SISECAM,5.5ملم اسودعلام
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم عاكس اسود فاتح(Sphinx),5.5,عاكس اسود فاتح,Sphinx,5.5ملم عاكس اسود فاتح
5.5ملم عاكس اسود فاتح(Sphinx),5.5,عاكس اسود فاتح,Sphinx,5.5ملم عاكس اسود فاتح
10ملم اسود(Sphinx),10,اسود,Sphinx,10ملم اسود
10ملم اسود(Sphinx),10,اسود,Sphinx,10ملم اسود
6ملم مغشى اسيد(Trakya),6,مغشى اسيد,Trakya,6ملم مغشى اسيد
8ملم مغشى اسيد(Trakya)نظيف,8,مغشى اسيدنظيف,Trakya,8ملم مغشى اسيدنظيف
10ملم مغشى اسيد(Trakya),10,مغشى اسيد,Trakya,10ملم مغشى اسيد
5.5ملم ابيض(Guardianامراتي),5.5,ابيض,Guardianامراتي,5.5ملم ابيض
8ملم برش ابيض(Qingdo jnjing),8,برش ابيض,Qingdo jnjing,8ملم برش ابيض
10ملم برش ابيض(Qingdo jnjing),10,برش ابيض,Qingdo jnjing,10ملم برش ابيض
8ملم برش ابيض(Qingdo jnjing),8,برش ابيض,Qingdo jnjing,8ملم برش ابيض
6ملم مرايا ابيض(Gardien),6,مرايا ابيض,Gardien,6ملم مرايا ابيض
5ملم مرايا ابيض(Gardien),5,مرايا ابيض,Gardien,5ملم مرايا ابيض
4ملم مرايا ابيض (Gardien),4,مرايا ابيض,Gardien,4ملم مرايا ابيض
12ملم ابيض(Gardien),12,ابيض,Gardien,12ملم ابيض
4ملم اسود(SISECAM ),4,اسود,SISECAM,4ملم اسود
10ملم اسود(SISECAM ),10,اسود,SISECAM,10ملم اسود
4ملم برونز(SISECAM ),4,برونز,SISECAM,4ملم برونز
4ملم برونز(SISECAM ),4,برونز,SISECAM,4ملم برونز
4ملم برونز(SISECAM ),4,برونز,SISECAM,4ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
6ملم عاكس زهر,6,عاكس زهر,,6ملم عاكس زهر
5.5ملم عاكس ازرق فاتح(Falcon),5.5,عاكس ازرق فاتح,Falcon,5.5ملم عاكس ازرق فاتح
 6ملم مرايا معتق ابيض,6,مرايا معتق ابيض,,6ملم مرايا معتق ابيض
3ملم مرايا ابيض(Silver ),3,مرايا ابيض,Silver,3ملم مرايا ابيض
4ملم محجر صليب ابيض(Cairo),4,محجر صليب ابيض,Cairo,4ملم محجر صليب ابيض
12ملم ابيض(Guardianامراتي),12,ابيض,Guardianامراتي,12ملم ابيض
8ملم ابيض(Guardianامراتي),8,ابيض,Guardianامراتي,8ملم ابيض
8ملم ابيض(Guardianامراتي),8,ابيض,Guardianامراتي,8ملم ابيض
10ملم ابيض(Guardianامراتي),10,ابيض,Guardianامراتي,10ملم ابيض
12ملم ابيض(Gardien),12,ابيض,Gardien,12ملم ابيض
3ملم مرايا ابيض(Tess Aluminum),3,مرايا ابيض,Tess Aluminum,3ملم مرايا ابيض
3ملم مرايا ابيض(Alu),3,مرايا ابيض,Alu,3ملم مرايا ابيض
4ملم محجر دلتا  ابيض,4,محجر دلتا ابيض,,4ملم محجر دلتا ابيض
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
8ملم ابيض جامبو(Guardian),8,ابيض جامبو,Guardian,8ملم ابيض جامبو
  10ملم ابيض جامبو(Sphinx),10,ابيض جامبو,Sphinx,10ملم ابيض جامبو
12ملم ابيض(SISECAM ),12,ابيض,SISECAM,12ملم ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
8ملم ابيض جامبو(Sphinx),8,ابيض جامبو,Sphinx,8ملم ابيض جامبو
 12ملم ابيض جامبو(Guardian),12,ابيض جامبو,Guardian,12ملم ابيض جامبو
8ملم ابيض(Sphinx),8,ابيض,Sphinx,8ملم ابيض
6ملم عاكس LOW-E (Obeikan),6,عاكس LOW-E,Obeikan,6ملم عاكس LOW-E
6ملم ابيض(Sphinx),6,ابيض,Sphinx,6ملم ابيض
6ملم عاكس LOW-E (Obeikan),6,عاكس LOW-E,Obeikan,6ملم عاكس LOW-E
8ملم عاكس LOW-E(Obeikan),8,عاكس LOW-E,Obeikan,8ملم عاكس LOW-E
6ملم ابيض(Obeikan),6,ابيض,Obeikan,6ملم ابيض
6ملم ابيض(Obeikan),6,ابيض,Obeikan,6ملم ابيض
12ملم برونز(امراتي),12,برونز,امراتي,12ملم برونز
12ملم اسود(امراتي),12,اسود,امراتي,12ملم اسود
5.5ملم ابيض(صيني),5.5,ابيض,صيني,5.5ملم ابيض
5.5ملم ابيض(U.F.G),5.5,ابيض,U.F.G,5.5ملم ابيض
6ملم ابيض(Trakya ),6,ابيض,Trakya,6ملم ابيض
6ملم ابيض(Trakya ),6,ابيض,Trakya,6ملم ابيض
6ملم زهر,6,زهر,,6ملم زهر
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
8ملم ابيض جامبو(Trakya ),8,ابيض جامبو,Trakya,8ملم ابيض جامبو
 10ملم ابيض جامبو(Trakya ),10,ابيض جامبو,Trakya,10ملم ابيض جامبو
5.5ملم برش برونز(Cairo),5.5,برش برونز,Cairo,5.5ملم برش برونز
8ملم ابيض(SISECAM ),8,ابيض,SISECAM,8ملم ابيض
12ملم تريبلكس ابيض(SISECAM),12,تريبلكس ابيض,SISECAM,12ملم تريبلكس ابيض
10ملم تريبلكس ابيض.2(SISECAM),10,تريبلكس ابيض.2,SISECAM,10ملم تريبلكس ابيض.2
10ملم تريبلكس ابيض(SISECAM),10,تريبلكس ابيض,SISECAM,10ملم تريبلكس ابيض
10ملم ابيض(Trakya ),10,ابيض,Trakya,10ملم ابيض
6ملم مرايا برونز(SISECAM ),6,مرايا برونز,SISECAM,6ملم مرايا برونز
5.5ملم ابيض(Zakaria امراتي),5.5,ابيض,Zakaria امراتي,5.5ملم ابيض
5.5ملم ابيض(Zakaria امراتي),5.5,ابيض,Zakaria امراتي,5.5ملم ابيض
5.5ملم ابيض(Zakaria امراتي),5.5,ابيض,Zakaria امراتي,5.5ملم ابيض
5.5ملم ابيض(Zakaria امراتي),5.5,ابيض,Zakaria امراتي,5.5ملم ابيض
5.5ملم ابيض(Zakaria امراتي),5.5,ابيض,Zakaria امراتي,5.5ملم ابيض
15ملم كريستال ( ShangJinjing),15,كريستال,ShangJinjing,15ملم كريستال
19ملم كريستال ( ShangJinjing),19,كريستال,ShangJinjing,19ملم كريستال
10ملم ابيض(Trakya ),10,ابيض,Trakya,10ملم ابيض
 2ملم مات(Pilkington)نظيف,2,ماتنظيف,Pilkington,2ملم ماتنظيف
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
19ملم ابيض(RIDER),19,ابيض,RIDER,19ملم ابيض
5.5ملم ابيض(Sphinx),5.5,ابيض,Sphinx,5.5ملم ابيض
5.5ملم ابيض(Sphinx),5.5,ابيض,Sphinx,5.5ملم ابيض
5.5ملم ابيض(Sphinx Transition)CO,5.5,ابيضCO,Sphinx Transition,5.5ملم ابيضCO
5.5ملم برونز(Sphinx),5.5,برونز,Sphinx,5.5ملم برونز
5.5ملم برونز(Sphinx),5.5,برونز,Sphinx,5.5ملم برونز
5.5ملم اسود(Sphinx),5.5,اسود,Sphinx,5.5ملم اسود
10ملم اسود(Sphinx),10,اسود,Sphinx,10ملم اسود
5.5ملم عاكس برونز(Sphinx),5.5,عاكس برونز,Sphinx,5.5ملم عاكس برونز
4ملم ابيض(Trakya ),4,ابيض,Trakya,4ملم ابيض
5.5ملم ابيض(ITALIA ),5.5,ابيض,ITALIA,5.5ملم ابيض
8ملم ابيض (ITALIA ),8,ابيض,ITALIA,8ملم ابيض
6ملم مغشى ابيض,6,مغشى ابيض,,6ملم مغشى ابيض
6ملم مغشى ابيض,6,مغشى ابيض,,6ملم مغشى ابيض
5.5ملم اخضر غامق(RIDER),5.5,اخضر غامق,RIDER,5.5ملم اخضر غامق
12ملم تريبلكس ابيض(SISECAM),12,تريبلكس ابيض,SISECAM,12ملم تريبلكس ابيض
5.5ملم اخضر غامق(Zhongbo)ماجد,5.5,اخضر غامقماجد,Zhongbo,5.5ملم اخضر غامقماجد
12ملم كريستال(Xinyi),12,كريستال,Xinyi,12ملم كريستال
5.5ملم ابيض(Obeikan),5.5,ابيض,Obeikan,5.5ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
6ملم مرايا ابيض(Gardien),6,مرايا ابيض,Gardien,6ملم مرايا ابيض
5.5ملم ابيض(U.F.G),5.5,ابيض,U.F.G,5.5ملم ابيض
3ملم بلور(Trakya ),3,بلور,Trakya,3ملم بلور
4ملم ابيض(Trakya ),4,ابيض,Trakya,4ملم ابيض
6ملم ابيض(Trakya ),6,ابيض,Trakya,6ملم ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
5.5ملم برونز(Sphinx),5.5,برونز,Sphinx,5.5ملم برونز
12ملم كريستال(AGC),12,كريستال,AGC,12ملم كريستال
10ملم تريبلكس silance(SISECAM),10,تريبلكس silance,SISECAM,10ملم تريبلكس silance
6ملم تريبلكس  silance(SISECAM),6,تريبلكس silance,SISECAM,6ملم تريبلكس silance
5.5ملم برش ابيض(U.F.G),5.5,برش ابيض,U.F.G,5.5ملم برش ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
8ملم عاكس اخضر فاتح(SISECAM),8,عاكس اخضر فاتح,SISECAM,8ملم عاكس اخضر فاتح
6ملم مشرط ابيض(SISECAM ),6,مشرط ابيض,SISECAM,6ملم مشرط ابيض
10ملم برونز,10,برونز,,10ملم برونز
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
6ملم كريستال(SIS)  تركيا,6,كريستال تركيا,SIS,6ملم كريستال تركيا
8ملم كريستال(SISECAM),8,كريستال,SISECAM,8ملم كريستال
10ملم كريستال(SIS)تركيا,10,كريستالتركيا,SIS,10ملم كريستالتركيا
12ملم كريستال(SIS)تركيا,12,كريستالتركيا,SIS,12ملم كريستالتركيا
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
10ملم برونز(امراتي),10,برونز,امراتي,10ملم برونز
5ملم مرايا ابيض(AGC),5,مرايا ابيض,AGC,5ملم مرايا ابيض
4ملم مرايا ابيض(SISECAM ),4,مرايا ابيض,SISECAM,4ملم مرايا ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
10ملم ابيض(Obeikan),10,ابيض,Obeikan,10ملم ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
5.5ملم برش برونز,5.5,برش برونز,,5.5ملم برش برونز
4ملم مغشى اسيد(Trakya),4,مغشى اسيد,Trakya,4ملم مغشى اسيد
10ملم برونز(Shandong Jinjin),10,برونز,Shandong Jinjin,10ملم برونز
10ملم عاكس LOW-E(Guardian),10,عاكس LOW-E,Guardian,10ملم عاكس LOW-E
6ملم مرايا برونز(AGC),6,مرايا برونز,AGC,6ملم مرايا برونز
4ملم ياسمين اسيد ابيض(Dekor)علام,4,ياسمين اسيد ابيضعلام,Dekor,4ملم ياسمين اسيد ابيضعلام
4ملم عريشة اسيد ابيض(Dekor),4,عريشة اسيد ابيض,Dekor,4ملم عريشة اسيد ابيض
4ملم محجر دلتا  ابيض(تركي),4,محجر دلتا ابيض,تركي,4ملم محجر دلتا ابيض
4ملم ياسمين اسيد برونز(Dekor),4,ياسمين اسيد برونز,Dekor,4ملم ياسمين اسيد برونز
4ملم عريشة اسيد برونز(Dekor),4,عريشة اسيد برونز,Dekor,4ملم عريشة اسيد برونز
4ملم دلتا اسيد برونز(Dekor),4,دلتا اسيد برونز,Dekor,4ملم دلتا اسيد برونز
6ملم عاكس LOW-E(Guardian),6,عاكس LOW-E,Guardian,6ملم عاكس LOW-E
4ملم مرايا ابيض(SISECAM ),4,مرايا ابيض,SISECAM,4ملم مرايا ابيض
6ملم مرايا اسود(SISECAM ),6,مرايا اسود,SISECAM,6ملم مرايا اسود
3ملم مرايا ابيض(Alumi Oingdao),3,مرايا ابيض,Alumi Oingdao,3ملم مرايا ابيض
4ملم محجر صليب ابيض(SIAM),4,محجر صليب ابيض,SIAM,4ملم محجر صليب ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
6ملم مرايا معتق فضي,6,مرايا معتق فضي,,6ملم مرايا معتق فضي
(4)مرايا 6 ملم معتق رقم,6,مرايا 6 متق رقم,4,6ملم مرايا 6 متق رقم
(3)مرايا 6 ملم معتق رقم,6,مرايا 6 متق رقم,3,6ملم مرايا 6 متق رقم
4ملم وردة كارى اسيد برونزDSG-017,4,وردة كارى اسيد برونزDSG-017,,4ملم وردة كارى اسيد برونزDSG-017
4ملم مرايا ابيض(Alum Majed),4,مرايا ابيض,Alum Majed,4ملم مرايا ابيض
5ملم مرايا ابيض(Tess Aluminum),5,مرايا ابيض,Tess Aluminum,5ملم مرايا ابيض
(2)محجر اسيد ديكور,,محجر اسيد ديكور,2,محجر اسيد ديكور
(3)محجر اسيد ديكور,,محجر اسيد ديكور,3,محجر اسيد ديكور
(4)محجر اسيد ديكور,,محجر اسيد ديكور,4,محجر اسيد ديكور
(5)محجر اسيد ديكور,,محجر اسيد ديكور,5,محجر اسيد ديكور
(6)محجر اسيد ديكور,,محجر اسيد ديكور,6,محجر اسيد ديكور
(7)محجر اسيد ديكور,,محجر اسيد ديكور,7,محجر اسيد ديكور
(8)محجر اسيد ديكور,,محجر اسيد ديكور,8,محجر اسيد ديكور
(9)محجر اسيد ديكور,,محجر اسيد ديكور,9,محجر اسيد ديكور
(10)محجر اسيد ديكور,,محجر اسيد ديكور,10,محجر اسيد ديكور
(7)محجر اسيد ديكور,,محجر اسيد ديكور,7,محجر اسيد ديكور
(6)محجر اسيد ديكور,,محجر اسيد ديكور,6,محجر اسيد ديكور
(5)محجر اسيد ديكور,,محجر اسيد ديكور,5,محجر اسيد ديكور
5.5ملم اخضر فاتح(SISECAM ),5.5,اخضر فاتح,SISECAM,5.5ملم اخضر فاتح
5.5ملم ازرق فاتح(SISECAM ),5.5,ازرق فاتح,SISECAM,5.5ملم ازرق فاتح
6ملم عاكس LOW-E (AGC),6,عاكس LOW-E,AGC,6ملم عاكس LOW-E
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
4ملم محجر زلحفة عسلي,4,محجر زلحفة عسلي,,4ملم محجر زلحفة عسلي
4ملم محجر دلتا  برونز,4,محجر دلتا برونز,,4ملم محجر دلتا برونز
3ملم بلور,3,بلور,,3ملم بلور
بامبو برونز اسيد,,بامبو برونز اسيد,,بامبو برونز اسيد
4ملم دلتا اسيد ابيض,4,دلتا اسيد ابيض,,4ملم دلتا اسيد ابيض
19ملم ابيض(Shandong Jinjing),19,ابيض,Shandong Jinjing,19ملم ابيض
5.5ملم اسود(SISECAM ),5.5,اسود,SISECAM,5.5ملم اسود
6ملم ابيض(Trakya),6,ابيض,Trakya,6ملم ابيض
6ملم ابيض(Trakya),6,ابيض,Trakya,6ملم ابيض
8ملم تريبلكس ابيض(ITALIA),8,تريبلكس ابيض,ITALIA,8ملم تريبلكس ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
6ملم مرايا ابيض(AGC),6,مرايا ابيض,AGC,6ملم مرايا ابيض
8ملم ازرق فاتح(SISECAM ),8,ازرق فاتح,SISECAM,8ملم ازرق فاتح
8ملم اسود(SISECAM ),8,اسود,SISECAM,8ملم اسود
8ملم تريبلكس ابيض(ITALIA),8,تريبلكس ابيض,ITALIA,8ملم تريبلكس ابيض
5.5ملم برش برونز,5.5,برش برونز,,5.5ملم برش برونز
5.5ملم ابيض(Sphinx Transition),5.5,ابيض,Sphinx Transition,5.5ملم ابيض
5.5ملم اسود(Sphinx RU-2),5.5,اسود,Sphinx RU-2,5.5ملم اسود
4ملم محجر زلحفة  ابيض(SIAM),4,محجر زلحفة ابيض,SIAM,4ملم محجر زلحفة ابيض
4ملم محجر صليب ابيض(SIAM),4,محجر صليب ابيض,SIAM,4ملم محجر صليب ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
12ملم ابيض(Obeikan),12,ابيض,Obeikan,12ملم ابيض
"5ملم ازرق غامق,3(Rongsheng)",5,"ازرق غامق,3",Rongsheng,"5ملم ازرق غامق,3"
5.5ملم ابيض(Trakya ),5.5,ابيض,Trakya,5.5ملم ابيض
5.5ملم ابيض(SISECAM ),5.5,ابيض,SISECAM,5.5ملم ابيض
(2)محجر اسيد ديكور,,محجر اسيد ديكور,2,محجر اسيد ديكور
6ملم عاكس LOW-E (Guardian),6,عاكس LOW-E,Guardian,6ملم عاكس LOW-E
(4)محجر اسيد ديكور,,محجر اسيد ديكور,4,محجر اسيد ديكور
8ملم ابيض(Obeikan),8,ابيض,Obeikan,8ملم ابيض
(7)محجر اسيد ديكور,,محجر اسيد ديكور,7,محجر اسيد ديكور
(10)محجر اسيد ديكور,,محجر اسيد ديكور,10,محجر اسيد ديكور
(9)محجر اسيد ديكور,,محجر اسيد ديكور,9,محجر اسيد ديكور
4ملم محجر زلحفة ازرق,4,محجر زلحفة ازرق,,4ملم محجر زلحفة ازرق
8ملم اخضر فاتح(SISECAM ),8,اخضر فاتح,SISECAM,8ملم اخضر فاتح
8ملم اخضر فاتح(SISECAM ),8,اخضر فاتح,SISECAM,8ملم اخضر فاتح
8ملم اخضر فاتح(SISECAM ),8,اخضر فاتح,SISECAM,8ملم اخضر فاتح
4ملم مرايا برونز(SISECAM ),4,مرايا برونز,SISECAM,4ملم مرايا برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
5.5ملم برونز(SISECAM ),5.5,برونز,SISECAM,5.5ملم برونز
8ملم عاكس LOW-E(Guardian),8,عاكس LOW-E,Guardian,8ملم عاكس LOW-E
6ملم عاكس LOW-E(Guardian),6,عاكس LOW-E,Guardian,6ملم عاكس LOW-E
8ملم عاكس LOW-E(Guardian),8,عاكس LOW-E,Guardian,8ملم عاكس LOW-E
4ملم مرايا ابيض(AGC),4,مرايا ابيض,AGC,4ملم مرايا ابيض
12ملم ابيض(SISECAM ),12,ابيض,SISECAM,12ملم ابيض
15ملم ابيض(RIDER),15,ابيض,RIDER,15ملم ابيض
15ملم ابيض(RIDER),15,ابيض,RIDER,15ملم ابيض
5.5ملم اخضر غامق(RIR),5.5,اخضر غامق,RIR,5.5ملم اخضر غامق
8ملم ابيض(Sphinx),8,ابيض,Sphinx,8ملم ابيض
5.5ملم ابيض(Trakya ),5.5,ابيض,Trakya,5.5ملم ابيض
3ملم بلور(Trakya ),3,بلور,Trakya,3ملم بلور
5.5ملم ابيض(ITALIA ),5.5,ابيض,ITALIA,5.5ملم ابيض
5.5ملم ابيض(ITALIA ),5.5,ابيض,ITALIA,5.5ملم ابيض
